,User,Trial,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,F,3,I,10,2,1,1,2,1,3,38.784056849131325,30.120331369599636,90.7,62.27934708573976
1,B,4,N,8,1,2,1,1,1,2,55.228078626432406,38.07665617964943,60.63333333333333,62.54667329148083
2,E,2,E,19,3,3,3,3,3,4,52.287051901076374,44.21871485386509,43.2,59.14583748028787
3,G,3,N,10,1,2,1,2,2,2,36.89785500087809,22.583676316566944,80.46666666666667,62.80393244170601
4,E,5,E,21,3,4,3,4,3,4,52.865300806790756,49.934297905671286,41.86666666666667,51.84583678833852
5,D,2,E,16,3,2,2,3,3,3,83.00843193003833,34.6108273595308,41.333333333333336,67.83089552108966
6,C,1,I,20,4,3,3,3,3,4,69.60327183785084,44.15772169782292,40.86666666666667,63.30968229476474
7,C,4,I,20,4,3,3,3,3,4,74.67527480269769,50.94192690144768,46.06666666666667,89.22190531631861
8,C,3,I,18,3,3,3,3,3,3,81.47585603495266,30.996691008841868,35.733333333333334,76.22148726805183
9,E,3,E,22,3,4,3,4,4,4,86.42274950283615,52.56076279467534,47.06666666666667,67.14037274087313
10,D,5,E,18,3,3,3,3,3,3,87.93763469948632,51.01622340706105,41.833333333333336,67.77205207115536
11,C,5,I,20,4,3,3,3,3,4,61.08881023714998,50.829669698409184,38.3,70.99614286719705
12,F,5,I,15,2,3,2,3,2,3,120.54766788587585,53.40010543617336,61.6,75.92333080593943
13,I,3,N,8,2,1,1,2,1,1,43.25791298419587,25.240081331924127,68.73333333333333,63.272397057206966
14,C,2,I,22,4,3,3,4,4,4,84.77289098155892,62.82285323372279,35.56666666666667,67.67710403457885
15,D,4,E,19,3,3,3,4,3,3,83.50276368064735,36.50890054583654,34.93333333333333,58.69557530273355
16,F,2,I,20,4,3,3,3,3,4,107.90620259940145,32.1309899829157,33.7,64.22626830606403
17,H,3,N,12,3,2,1,3,2,1,64.26706554524625,47.40882337345556,54.46666666666667,62.009468699053954
18,G,5,N,11,1,2,1,2,2,3,46.7517180948274,39.487825347954676,56.5,54.121950798482224
19,G,4,N,6,1,1,1,1,1,1,56.03242704668027,32.361526119301416,128.4,145.56965981154974
20,B,2,N,9,1,1,2,2,1,2,36.04687417877238,25.325887765030846,49.3,40.23283840258781
21,I,5,N,6,1,1,1,1,1,1,55.91493720252028,22.338064196103343,88.46666666666667,93.57852690752033
22,E,4,E,18,2,3,3,4,3,3,69.1648322660166,57.23150415639387,45.666666666666664,63.50464955786507
23,F,4,I,10,2,1,1,2,1,3,63.24298624476976,29.511926752078296,60.96666666666667,86.72677800016803
24,H,4,N,22,3,4,3,4,4,4,62.366960792656215,24.346325352663793,75.0,48.048949731741544
25,D,1,E,14,3,1,2,3,2,3,51.581015334726295,37.80680121288981,46.6,82.70500442855024
26,I,2,N,8,1,1,1,2,1,2,48.96165995696647,40.092482751349806,80.83333333333333,70.19138960834424
27,I,1,N,9,2,1,1,1,1,3,65.99785137567551,36.05731590824651,77.6,81.58738271815047
28,E,1,E,18,4,2,2,3,3,4,75.68312064331103,48.0149634790303,53.03333333333333,75.93674692067061
29,B,3,N,11,1,2,2,2,2,2,40.775092889112685,28.79299088493008,53.7,52.85581767004257
30,D,3,E,12,1,2,2,2,2,3,60.453183971153585,33.773879239564586,46.7,70.38370235262937
31,B,1,N,13,2,2,2,2,2,3,50.65788208293526,29.60491880914636,57.8,55.39926995448715
32,F,1,I,16,3,2,2,3,3,3,33.01089883774198,24.875946891380107,30.633333333333333,47.81820990897387
33,G,2,N,11,2,2,1,2,2,2,35.72800265403057,19.59715148682697,76.03333333333333,67.23596563716197
34,H,5,N,18,3,3,3,3,3,3,112.000566078445,40.635119741492225,65.03333333333333,55.44580338965717
35,G,1,N,9,2,2,1,1,1,2,67.09991410500716,27.279485114146073,78.93333333333334,74.5712803639016
